Source Name	Sample Name	Comment[Set]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[Strain Source]	Characteristics[Genotype]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Characteristics[Generation]	Characteristics[age]	Unit	Term Source REF	Term Accession Number	Factor Value[Altered Gravity]	Factor Value[Sex]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[habitat]	Parameter Value[light cycle]	Parameter Value[light source]	Parameter Value[Age of F0 at Launch]	Unit	Term Source REF	Term Accession Number	Parameter Value[duration]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number
R0+25_Earth_M3	R0+25_Earth_M3	1	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	OSD	https://osdr.nasa.gov/	Bloomington Stock Center	Wild Type	OSD	https://osdr.nasa.gov/	brain	RBO	http://purl.obolibrary.org/obo/UBERON_0000955	F1 Generation	8-17	day	UO	http://purl.obolibrary.org/obo/UO_0000033	1G	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	Ground Control	OSD	https://osdr.nasa.gov/	Treatment Protocol	MVP hardware	12h Light:12h Dark	white LED illumination	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	29	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	fixation in 4% paraformaldehyde then stored in PBS with 0.05% sodium azide	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
R0+25_Earth_M4	R0+25_Earth_M4	1	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	OSD	https://osdr.nasa.gov/	Bloomington Stock Center	Wild Type	OSD	https://osdr.nasa.gov/	brain	RBO	http://purl.obolibrary.org/obo/UBERON_0000955	F1 Generation	8-17	day	UO	http://purl.obolibrary.org/obo/UO_0000033	1G	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	Ground Control	OSD	https://osdr.nasa.gov/	Treatment Protocol	MVP hardware	12h Light:12h Dark	white LED illumination	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	29	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	fixation in 4% paraformaldehyde then stored in PBS with 0.05% sodium azide	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
R0+25_Earth_M5	R0+25_Earth_M5	1	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	OSD	https://osdr.nasa.gov/	Bloomington Stock Center	Wild Type	OSD	https://osdr.nasa.gov/	brain	RBO	http://purl.obolibrary.org/obo/UBERON_0000955	F1 Generation	8-17	day	UO	http://purl.obolibrary.org/obo/UO_0000033	1G	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	Ground Control	OSD	https://osdr.nasa.gov/	Treatment Protocol	MVP hardware	12h Light:12h Dark	white LED illumination	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	29	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	fixation in 4% paraformaldehyde then stored in PBS with 0.05% sodium azide	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
R0+25_Earth_M6	R0+25_Earth_M6	1	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	OSD	https://osdr.nasa.gov/	Bloomington Stock Center	Wild Type	OSD	https://osdr.nasa.gov/	brain	RBO	http://purl.obolibrary.org/obo/UBERON_0000955	F1 Generation	8-17	day	UO	http://purl.obolibrary.org/obo/UO_0000033	1G	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	Ground Control	OSD	https://osdr.nasa.gov/	Treatment Protocol	MVP hardware	12h Light:12h Dark	white LED illumination	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	29	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	fixation in 4% paraformaldehyde then stored in PBS with 0.05% sodium azide	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
R0+25_Earth_M7	R0+25_Earth_M7	1	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	OSD	https://osdr.nasa.gov/	Bloomington Stock Center	Wild Type	OSD	https://osdr.nasa.gov/	brain	RBO	http://purl.obolibrary.org/obo/UBERON_0000955	F1 Generation	8-17	day	UO	http://purl.obolibrary.org/obo/UO_0000033	1G	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	Ground Control	OSD	https://osdr.nasa.gov/	Treatment Protocol	MVP hardware	12h Light:12h Dark	white LED illumination	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	29	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	fixation in 4% paraformaldehyde then stored in PBS with 0.05% sodium azide	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
R0+25_SF1g_F1	R0+25_SF1g_F1	1	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	OSD	https://osdr.nasa.gov/	Bloomington Stock Center	Wild Type	OSD	https://osdr.nasa.gov/	brain	RBO	http://purl.obolibrary.org/obo/UBERON_0000955	F1 Generation	8-17	day	UO	http://purl.obolibrary.org/obo/UO_0000033	1G in centrifuge	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Treatment Protocol	MVP hardware	12h Light:12h Dark	white LED illumination	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	29	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	fixation in 4% paraformaldehyde then stored in PBS with 0.05% sodium azide	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
R0+25_SF1g_F2	R0+25_SF1g_F2	1	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	OSD	https://osdr.nasa.gov/	Bloomington Stock Center	Wild Type	OSD	https://osdr.nasa.gov/	brain	RBO	http://purl.obolibrary.org/obo/UBERON_0000955	F1 Generation	8-17	day	UO	http://purl.obolibrary.org/obo/UO_0000033	1G in centrifuge	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Treatment Protocol	MVP hardware	12h Light:12h Dark	white LED illumination	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	29	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	fixation in 4% paraformaldehyde then stored in PBS with 0.05% sodium azide	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
R0+25_SF1g_F3	R0+25_SF1g_F3	1	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	OSD	https://osdr.nasa.gov/	Bloomington Stock Center	Wild Type	OSD	https://osdr.nasa.gov/	brain	RBO	http://purl.obolibrary.org/obo/UBERON_0000955	F1 Generation	8-17	day	UO	http://purl.obolibrary.org/obo/UO_0000033	1G in centrifuge	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Treatment Protocol	MVP hardware	12h Light:12h Dark	white LED illumination	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	29	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	fixation in 4% paraformaldehyde then stored in PBS with 0.05% sodium azide	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
R0+25_SF1g_F4	R0+25_SF1g_F4	1	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	OSD	https://osdr.nasa.gov/	Bloomington Stock Center	Wild Type	OSD	https://osdr.nasa.gov/	brain	RBO	http://purl.obolibrary.org/obo/UBERON_0000955	F1 Generation	8-17	day	UO	http://purl.obolibrary.org/obo/UO_0000033	1G in centrifuge	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Treatment Protocol	MVP hardware	12h Light:12h Dark	white LED illumination	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	29	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	fixation in 4% paraformaldehyde then stored in PBS with 0.05% sodium azide	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
R0+25_SF1g_F5	R0+25_SF1g_F5	1	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	OSD	https://osdr.nasa.gov/	Bloomington Stock Center	Wild Type	OSD	https://osdr.nasa.gov/	brain	RBO	http://purl.obolibrary.org/obo/UBERON_0000955	F1 Generation	8-17	day	UO	http://purl.obolibrary.org/obo/UO_0000033	1G in centrifuge	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Treatment Protocol	MVP hardware	12h Light:12h Dark	white LED illumination	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	29	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	fixation in 4% paraformaldehyde then stored in PBS with 0.05% sodium azide	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
R0+25_SF1g_F6	R0+25_SF1g_F6	1	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	OSD	https://osdr.nasa.gov/	Bloomington Stock Center	Wild Type	OSD	https://osdr.nasa.gov/	brain	RBO	http://purl.obolibrary.org/obo/UBERON_0000955	F1 Generation	8-17	day	UO	http://purl.obolibrary.org/obo/UO_0000033	1G in centrifuge	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Treatment Protocol	MVP hardware	12h Light:12h Dark	white LED illumination	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	29	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	fixation in 4% paraformaldehyde then stored in PBS with 0.05% sodium azide	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
R0+25_SF1g_F7	R0+25_SF1g_F7	1	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	OSD	https://osdr.nasa.gov/	Bloomington Stock Center	Wild Type	OSD	https://osdr.nasa.gov/	brain	RBO	http://purl.obolibrary.org/obo/UBERON_0000955	F1 Generation	8-17	day	UO	http://purl.obolibrary.org/obo/UO_0000033	1G in centrifuge	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Treatment Protocol	MVP hardware	12h Light:12h Dark	white LED illumination	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	29	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	fixation in 4% paraformaldehyde then stored in PBS with 0.05% sodium azide	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
R0+25_SF1g_F8	R0+25_SF1g_F8	1	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	OSD	https://osdr.nasa.gov/	Bloomington Stock Center	Wild Type	OSD	https://osdr.nasa.gov/	brain	RBO	http://purl.obolibrary.org/obo/UBERON_0000955	F1 Generation	8-17	day	UO	http://purl.obolibrary.org/obo/UO_0000033	1G in centrifuge	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Treatment Protocol	MVP hardware	12h Light:12h Dark	white LED illumination	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	29	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	fixation in 4% paraformaldehyde then stored in PBS with 0.05% sodium azide	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
R0+25_SF1g_F9	R0+25_SF1g_F9	1	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	OSD	https://osdr.nasa.gov/	Bloomington Stock Center	Wild Type	OSD	https://osdr.nasa.gov/	brain	RBO	http://purl.obolibrary.org/obo/UBERON_0000955	F1 Generation	8-17	day	UO	http://purl.obolibrary.org/obo/UO_0000033	1G in centrifuge	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Treatment Protocol	MVP hardware	12h Light:12h Dark	white LED illumination	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	29	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	fixation in 4% paraformaldehyde then stored in PBS with 0.05% sodium azide	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
R0+25_SF1g_M1	R0+25_SF1g_M1	1	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	OSD	https://osdr.nasa.gov/	Bloomington Stock Center	Wild Type	OSD	https://osdr.nasa.gov/	brain	RBO	http://purl.obolibrary.org/obo/UBERON_0000955	F1 Generation	8-17	day	UO	http://purl.obolibrary.org/obo/UO_0000033	1G in centrifuge	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Treatment Protocol	MVP hardware	12h Light:12h Dark	white LED illumination	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	29	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	fixation in 4% paraformaldehyde then stored in PBS with 0.05% sodium azide	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
R0+25_SF1g_M2	R0+25_SF1g_M2	1	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	OSD	https://osdr.nasa.gov/	Bloomington Stock Center	Wild Type	OSD	https://osdr.nasa.gov/	brain	RBO	http://purl.obolibrary.org/obo/UBERON_0000955	F1 Generation	8-17	day	UO	http://purl.obolibrary.org/obo/UO_0000033	1G in centrifuge	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Treatment Protocol	MVP hardware	12h Light:12h Dark	white LED illumination	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	29	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	fixation in 4% paraformaldehyde then stored in PBS with 0.05% sodium azide	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
R0+25_SF1g_M3	R0+25_SF1g_M3	1	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	OSD	https://osdr.nasa.gov/	Bloomington Stock Center	Wild Type	OSD	https://osdr.nasa.gov/	brain	RBO	http://purl.obolibrary.org/obo/UBERON_0000955	F1 Generation	8-17	day	UO	http://purl.obolibrary.org/obo/UO_0000033	1G in centrifuge	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Treatment Protocol	MVP hardware	12h Light:12h Dark	white LED illumination	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	29	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	fixation in 4% paraformaldehyde then stored in PBS with 0.05% sodium azide	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
R0+25_SF1g_M4	R0+25_SF1g_M4	1	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	OSD	https://osdr.nasa.gov/	Bloomington Stock Center	Wild Type	OSD	https://osdr.nasa.gov/	brain	RBO	http://purl.obolibrary.org/obo/UBERON_0000955	F1 Generation	8-17	day	UO	http://purl.obolibrary.org/obo/UO_0000033	1G in centrifuge	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Treatment Protocol	MVP hardware	12h Light:12h Dark	white LED illumination	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	29	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	fixation in 4% paraformaldehyde then stored in PBS with 0.05% sodium azide	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
R0+25_SF1g_M5	R0+25_SF1g_M5	1	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	OSD	https://osdr.nasa.gov/	Bloomington Stock Center	Wild Type	OSD	https://osdr.nasa.gov/	brain	RBO	http://purl.obolibrary.org/obo/UBERON_0000955	F1 Generation	8-17	day	UO	http://purl.obolibrary.org/obo/UO_0000033	1G in centrifuge	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Treatment Protocol	MVP hardware	12h Light:12h Dark	white LED illumination	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	29	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	fixation in 4% paraformaldehyde then stored in PBS with 0.05% sodium azide	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
R0+25_SF1g_M6	R0+25_SF1g_M6	1	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	OSD	https://osdr.nasa.gov/	Bloomington Stock Center	Wild Type	OSD	https://osdr.nasa.gov/	brain	RBO	http://purl.obolibrary.org/obo/UBERON_0000955	F1 Generation	8-17	day	UO	http://purl.obolibrary.org/obo/UO_0000033	1G in centrifuge	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Treatment Protocol	MVP hardware	12h Light:12h Dark	white LED illumination	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	29	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	fixation in 4% paraformaldehyde then stored in PBS with 0.05% sodium azide	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
R0+25_SFug_F1	R0+25_SFug_F1	1	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	OSD	https://osdr.nasa.gov/	Bloomington Stock Center	Wild Type	OSD	https://osdr.nasa.gov/	brain	RBO	http://purl.obolibrary.org/obo/UBERON_0000955	F1 Generation	8-17	day	UO	http://purl.obolibrary.org/obo/UO_0000033	uG	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Treatment Protocol	MVP hardware	12h Light:12h Dark	white LED illumination	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	29	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	fixation in 4% paraformaldehyde then stored in PBS with 0.05% sodium azide	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
R0+25_SFug_F2	R0+25_SFug_F2	1	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	OSD	https://osdr.nasa.gov/	Bloomington Stock Center	Wild Type	OSD	https://osdr.nasa.gov/	brain	RBO	http://purl.obolibrary.org/obo/UBERON_0000955	F1 Generation	8-17	day	UO	http://purl.obolibrary.org/obo/UO_0000033	uG	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Treatment Protocol	MVP hardware	12h Light:12h Dark	white LED illumination	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	29	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	fixation in 4% paraformaldehyde then stored in PBS with 0.05% sodium azide	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
R0+25_SFug_F3	R0+25_SFug_F3	1	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	OSD	https://osdr.nasa.gov/	Bloomington Stock Center	Wild Type	OSD	https://osdr.nasa.gov/	brain	RBO	http://purl.obolibrary.org/obo/UBERON_0000955	F1 Generation	8-17	day	UO	http://purl.obolibrary.org/obo/UO_0000033	uG	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Treatment Protocol	MVP hardware	12h Light:12h Dark	white LED illumination	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	29	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	fixation in 4% paraformaldehyde then stored in PBS with 0.05% sodium azide	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
R0+25_SFug_F4	R0+25_SFug_F4	1	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	OSD	https://osdr.nasa.gov/	Bloomington Stock Center	Wild Type	OSD	https://osdr.nasa.gov/	brain	RBO	http://purl.obolibrary.org/obo/UBERON_0000955	F1 Generation	8-17	day	UO	http://purl.obolibrary.org/obo/UO_0000033	uG	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Treatment Protocol	MVP hardware	12h Light:12h Dark	white LED illumination	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	29	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	fixation in 4% paraformaldehyde then stored in PBS with 0.05% sodium azide	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
R0+25_SFug_F5	R0+25_SFug_F5	1	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	OSD	https://osdr.nasa.gov/	Bloomington Stock Center	Wild Type	OSD	https://osdr.nasa.gov/	brain	RBO	http://purl.obolibrary.org/obo/UBERON_0000955	F1 Generation	8-17	day	UO	http://purl.obolibrary.org/obo/UO_0000033	uG	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Treatment Protocol	MVP hardware	12h Light:12h Dark	white LED illumination	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	29	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	fixation in 4% paraformaldehyde then stored in PBS with 0.05% sodium azide	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
R0+25_SFug_F6	R0+25_SFug_F6	1	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	OSD	https://osdr.nasa.gov/	Bloomington Stock Center	Wild Type	OSD	https://osdr.nasa.gov/	brain	RBO	http://purl.obolibrary.org/obo/UBERON_0000955	F1 Generation	8-17	day	UO	http://purl.obolibrary.org/obo/UO_0000033	uG	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Treatment Protocol	MVP hardware	12h Light:12h Dark	white LED illumination	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	29	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	fixation in 4% paraformaldehyde then stored in PBS with 0.05% sodium azide	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
R0+25_SFug_F7	R0+25_SFug_F7	1	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	OSD	https://osdr.nasa.gov/	Bloomington Stock Center	Wild Type	OSD	https://osdr.nasa.gov/	brain	RBO	http://purl.obolibrary.org/obo/UBERON_0000955	F1 Generation	8-17	day	UO	http://purl.obolibrary.org/obo/UO_0000033	uG	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Treatment Protocol	MVP hardware	12h Light:12h Dark	white LED illumination	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	29	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	fixation in 4% paraformaldehyde then stored in PBS with 0.05% sodium azide	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
R0+25_SFug_M1	R0+25_SFug_M1	1	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	OSD	https://osdr.nasa.gov/	Bloomington Stock Center	Wild Type	OSD	https://osdr.nasa.gov/	brain	RBO	http://purl.obolibrary.org/obo/UBERON_0000955	F1 Generation	8-17	day	UO	http://purl.obolibrary.org/obo/UO_0000033	uG	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Treatment Protocol	MVP hardware	12h Light:12h Dark	white LED illumination	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	29	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	fixation in 4% paraformaldehyde then stored in PBS with 0.05% sodium azide	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
R0+25_SFug_M2	R0+25_SFug_M2	1	Drosophila melanogaster	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/7227	W1118	OSD	https://osdr.nasa.gov/	Bloomington Stock Center	Wild Type	OSD	https://osdr.nasa.gov/	brain	RBO	http://purl.obolibrary.org/obo/UBERON_0000955	F1 Generation	8-17	day	UO	http://purl.obolibrary.org/obo/UO_0000033	uG	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Treatment Protocol	MVP hardware	12h Light:12h Dark	white LED illumination	54	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	29	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	fixation in 4% paraformaldehyde then stored in PBS with 0.05% sodium azide	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
